case_id,category,osi_layer,symptom,topology_note,raw_show_output,expected_fault,severity,concept_tag
CASE-001,INTERFACE,1,Host PC-A cannot ping gateway router,R1 connected to Switch-1 via GigabitEthernet0/0/1,R1# show ip interface brief\nInterface              IP-Address      OK? Method Status                  Protocol\nGigabitEthernet0/0/0   192.168.1.1     YES manual up                      up      \nGigabitEthernet0/0/1   192.168.2.1     YES manual administratively down   down    \nLoopback0              10.0.0.1        YES manual up                      up,Interface GigabitEthernet0/0/1 is administratively down,HIGH,interface_admin_down
CASE-002,VLAN,2,PC-1 on VLAN 10 cannot ping PC-2 on VLAN 10 on Switch-2,Switch-1 connected to Switch-2 on GigabitEthernet0/1. VLAN 10 active on Switch-1.,Switch-1# show vlan brief\nVLAN Name                             Status    Ports\n---- -------------------------------- --------- -------------------------------\n1    default                          active    Gi0/2, Gi0/3\n10   Accounting                       active    Fa0/1, Fa0/2\n\nSwitch-1# show interfaces trunk\nPort        Mode         Encapsulation  Status        Native vlan\nGi0/1       on           802.1q         trunking      1\n\nSwitch-2# show vlan brief\nVLAN Name                             Status    Ports\n---- -------------------------------- --------- -------------------------------\n1    default                          active    Fa0/1, Fa0/2, Gi0/1, Gi0/2,Missing VLAN 10 configuration on Switch-2,HIGH,vlan_missing
CASE-003,VLAN,2,Traffic leaking between VLANs across trunk or failing to pass,Switch-1 Gi0/1 connected to Switch-2 Gi0/1,Switch-1# show interfaces trunk\nPort        Mode         Encapsulation  Status        Native vlan\nGi0/1       on           802.1q         trunking      10\n\nSwitch-2# show interfaces trunk\nPort        Mode         Encapsulation  Status        Native vlan\nGi0/1       on           802.1q         trunking      99,Native VLAN mismatch between Switch-1 (VLAN 10) and Switch-2 (VLAN 99),HIGH,native_vlan_mismatch
CASE-004,ROUTING,3,Branch LAN (192.168.20.0/24) cannot access Internet,Branch-R1 connected to ISP-R1 via Gi0/0/0,Branch-R1# show ip route\nCodes: C - connected, S - static, R - RIP, M - mobile, B - BGP\nGateway of last resort is not set\n\n     192.168.20.0/24 is variably subnetted, 2 subnets, 2 masks\nC        192.168.20.0/24 is directly connected, GigabitEthernet0/0/1\nL        192.168.20.1/32 is directly connected, GigabitEthernet0/0/1\nC        10.1.1.0/30 is directly connected, GigabitEthernet0/0/0,Missing default route (0.0.0.0/0) on Branch-R1,HIGH,missing_default_route
CASE-005,INTERFACE,2,Switchport Gi0/2 went offline after connecting rogue switch,Switch-1 port Gi0/2 has port-security enabled,Switch-1# show ip interface brief\nInterface              IP-Address      OK? Method Status                  Protocol\nGigabitEthernet0/1     unassigned      YES unset  up                      up      \nGigabitEthernet0/2     unassigned      YES unset  err-disabled            down    \n\nSwitch-1# show port-security interface Gi0/2\nPort Security              : Enabled\nPort Status                : Secure-shutdown\nViolation Mode             : Shutdown,Interface GigabitEthernet0/2 is in err-disabled state due to port-security violation,HIGH,interface_err_disabled
CASE-006,DHCP,7,PC-10 gets APIPA address (169.254.x.x) instead of corporate IP,R1 configured as DHCP server for 192.168.10.0/24,R1# show ip dhcp binding\nIP address       Client ID/Hardware address   Expiration           Type\n192.168.10.10    0100.5056.a1b2               Aug 28 2026 12:00    Automatic\n\nR1# show ip dhcp pool LAN-POOL\nPool LAN-POOL :\n Utilization mark (High/Low)    : 100 / 0\n Subnet size (Maximum/Current)  : 5 / 5\n Total addresses                : 5\n Leased addresses               : 5\n Pending addresses              : 0\n Failed addresses               : 0,DHCP pool LAN-POOL is exhausted (100% utilization),HIGH,dhcp_pool_exhausted
CASE-007,INTERFACE,3,Duplicate IP warning pops up on PC-A and Router R1,R1 Gi0/0/0 and R2 Gi0/0/0 on same segment,R1# show ip interface brief\nInterface              IP-Address      OK? Method Status                  Protocol\nGigabitEthernet0/0/0   192.168.1.1     YES manual up                      up      \nGigabitEthernet0/0/1   10.0.0.1        YES manual up                      up      \n\n%SYS-4-CONFIG_I: Duplicate IP address 192.168.1.1 detected on GigabitEthernet0/0/0 matching host 0050.56b3.11aa,Duplicate IP address 192.168.1.1 configured on GigabitEthernet0/0/0,HIGH,duplicate_ip
CASE-008,DHCP,3,PC in VLAN 20 receives IP from VLAN 10 pool,R1 Subinterfaces Gi0/0.10 (VLAN 10) and Gi0/0.20 (VLAN 20),R1# show running-config | section dhcp\nip dhcp pool VLAN10_POOL\n network 192.168.10.0 255.255.255.0\n default-router 192.168.10.1\nip dhcp pool VLAN20_POOL\n network 192.168.10.0 255.255.255.0\n default-router 192.168.20.1,DHCP pool VLAN20_POOL has wrong network subnet configured (192.168.10.0 instead of 192.168.20.0),HIGH,dhcp_scope_mismatch
CASE-009,ACL,4,Engineering workstation cannot access Web Server at 172.16.1.10:80,Router R1 applied ACL 101 on Gi0/0/0 inbound,R1# show ip access-lists 101\nExtended IP access list 101\n    10 deny tcp host 192.168.1.50 host 172.16.1.10 eq www (42 matches)\n    20 permit ip any any (150 matches)\n\nR1# show ip interface GigabitEthernet0/0/0\nGigabitEthernet0/0/0 is up, line protocol is up\n  Inbound access list is 101,Access list 101 rule 10 explicitly denies HTTP traffic from 192.168.1.50 to 172.16.1.10,MEDIUM,acl_blocking
CASE-0010,NAT,4,Internal PCs (192.168.1.0/24) cannot reach external websites via R1,R1 WAN interface Gi0/0/1 facing ISP,R1# show ip nat translations\n<no entries active>\n\nR1# show running-config | section nat\nip nat inside source list 1 interface GigabitEthernet0/0/1 overload\n\nR1# show ip access-lists 1\nStandard IP access list 1\n    10 permit 10.0.0.0 0.255.255.255,NAT overload ACL 1 permits 10.0.0.0/8 but internal subnet is 192.168.1.0/24,HIGH,nat_misconfig
